,id,count_inj
0,4784e6e3-2f61-4a26-92cf-50809fb6d48c,0.0
1,153bcc6f-4fb7-4417-a45c-722e016cd2db,0.0
2,83c777e4-3ea6-40ea-800a-ae37d5597eba,0.0
3,ba0f0c8c-1456-484a-ae99-3d8e1a7e66d8,1.0
4,8ca00578-c3e6-4ab5-b908-7903c30c6766,1.0
5,97cc317a-9789-45ed-852a-3fa38a9f4f04,1.0
6,1f20a9e4-b2fb-44d2-afa7-9965c8551942,1.0
7,1e336730-69a6-41ca-a8dc-fafa7f068e92,0.0
8,517b5c6c-0f72-48e6-b2da-bc49d2a3ba87,0.0
9,3778b729-7f5d-4ee5-bb6b-487f17a53ab8,0.0
10,d3f90ea5-c55c-4cc4-b4f1-b99169b40882,0.0
11,6f4df85c-ba43-45ea-b366-ab2915f73bd6,0.0
12,9478fc29-238d-4c39-9028-a089ebfdb4ee,1.0
13,5dda1a3a-bd31-46da-ab2d-1ff8115bef1f,0.0
14,b5146f31-a4fd-4891-b733-da235c198450,0.0
15,f073a566-0cb2-4701-bc19-9f48b41d9c5b,0.0
16,1cd2bc4f-3483-4979-a7fe-1f3ddcae9810,0.0
17,3ce69833-4450-46eb-8094-621db7ffb088,0.0
18,69ef1494-4e00-44fe-b416-0a4a7fcceceb,0.0
19,bb3a34b9-4754-4784-96a6-a81c6a488732,1.0
20,eb79b247-db29-43c0-84dd-a9c858ddc48c,0.0
21,c75f1146-7e81-44c8-baf9-d0de715be007,0.0
22,50108f5e-e719-4f22-8afb-a1367d5c0594,1.0
23,e6df0ec1-2317-46eb-9ff0-07a556e396c8,0.0
24,9487f815-b2d6-4177-88fa-94998f1a9a58,0.0
25,dc58c9cc-0504-4697-9883-beecabd554d5,0.0
26,93bbd262-5208-4986-9384-eb373da9b336,0.0
27,a1a6985b-4665-414b-a4b6-6d91819212cb,0.0
28,b1921597-7ea8-45cf-b2b0-06d1d84ae580,0.0
30,1d1d3c2a-4e1d-4b00-87e5-ede13f6ceefe,1.0
31,d512659b-56a8-4e51-a61c-09dd44de51d0,0.0
32,2e3e9a16-7ce8-4124-9f92-78c7a70b956f,0.0
33,b23336dc-6f0a-4500-ae49-b311240738b3,0.0
34,1a696839-9974-400d-8bad-a3d991ad9504,0.0
35,e63f8f02-45b5-4ed1-bd2a-ad4b34993446,0.0
36,ed610747-d318-4938-8082-df532fc9f07d,1.0
37,7a79ccbf-5ea9-49a0-a52d-adb3017ae9ed,0.0
38,6f7087cc-c14b-440f-b8cd-3f97700e3cf0,1.0
39,f3a87368-2fe4-45e3-b899-2c719e4463e0,0.0
40,e2914ca4-e6e0-443f-a1dc-043dff003f20,0.0
41,728e3304-c3a0-4289-beec-518a2f08278a,0.0
42,da6a27e0-96cf-4faa-908b-7ddfea12685b,0.0
43,fcf44c31-2ba3-40a5-96f0-8b1c84d81ee2,0.0
44,1bef2512-045f-45b1-aeca-78d56eeaa75b,0.0
45,17e4129f-f948-472d-885d-4e0a5a66b43f,0.0
46,ba17757a-86ca-4195-9540-0aa16347e26d,0.0
47,891bc3b8-1662-4dd3-81db-91dcd0be6e76,0.0
48,aec45bf5-10db-4627-aa30-6c7ef02f7865,0.0
49,3a4498dc-5bb8-4440-b71f-826e729a21ca,0.0
50,db8472e9-ccaf-4b6e-9268-6a6cf167b6fb,1.0
51,589d2cfc-0d40-42bf-804a-e0d7dd2f31db,0.0
52,ffa558a8-f762-4006-ba6c-842c49508e3e,0.0
53,28f0dcfb-7b04-479c-a680-ca53cab10967,0.0
54,3af5febb-3543-4076-a8fc-7fdc9338bfaf,0.0
55,c954e202-d433-4d9a-8cd8-df6555c23f4d,0.0
56,db0458a8-d4e6-4e8e-a737-2cf6d62405ee,0.0
57,7db017f5-7a52-4eb9-af3b-2d22d5920197,0.0
58,3dbf7591-3eb4-406c-8667-77fd57bc97a9,0.0
60,65e0a6c7-de75-4930-967b-7c15c59b4ce9,0.0
61,2acfc829-f46b-4445-bd11-ce7c48b3e09e,0.0
62,01ade7dd-6d3a-46ba-955b-2192339d069a,0.0
63,bf593481-bbbb-4bda-8a7d-ce4fe7fa6f48,0.0
64,5848c971-83c9-41e8-bdc8-1af0f11b32d8,0.0
65,3fd48aef-24d5-49f8-88d2-fb7f6b8412c9,0.0
66,2b540da6-11dd-4639-9473-7c287792190a,0.0
67,42b8697b-0b3a-482e-97ed-1542545cf062,0.0
68,5f694a30-f8fc-45dd-b5e9-b077d198d74a,0.0
69,d9151b70-1375-4475-99a5-2c42c3c41bba,0.0
70,ae16ada8-5673-4f44-b040-c71177ae9232,0.0
71,034515a5-96cc-4d60-873c-ad4a781b147c,0.0
72,4b94d584-ed5e-4bda-a207-a27379c7fc15,0.0
73,7b8d04f4-3a8f-490b-8191-70be4513d5a5,0.0
74,3afee4f8-8d80-4cc0-b5c7-aefe9414666d,0.0
75,1856c753-88b5-4972-aab9-ca5afb54e3f5,0.0
76,bf4bb8d3-bcae-4ebe-a6f0-26965b1ecc1d,1.0
77,04711853-020f-4818-af2c-0db6e6cb7783,0.0
78,82550d9e-275a-47e4-9a5b-b7127d18ef5e,0.0
79,6550ab3c-d38b-49e0-bd6a-c474652f0f66,0.0
80,d4381e60-1387-4485-8767-ee9a65109356,0.0
81,e1ba6209-1003-45bb-a275-e87848a23c6a,0.0
82,247462fb-cc2e-4c30-9397-4b88871b026a,1.0
83,cfddbebf-526b-416e-8ec7-9b3a574aa0d8,0.0
84,e17a883a-e97d-4de7-99ad-babb357e4649,0.0
85,8ff185dc-46bb-4587-896d-aef2bfd7c698,0.0
86,423ae958-de5d-4625-be11-95c3fd483cca,0.0
87,c68ea7fe-b63d-4ba4-8173-db1c41e207bf,0.0
90,bad8dc69-b47e-42dc-a073-83164731e384,0.0
91,9b261cab-5d6c-40a7-a433-8f8924a98946,0.0
92,bf0c23b8-1329-443a-8910-d42cd88c3f68,0.0
94,b2cffb28-db41-453c-afe3-59ebd6dfc51e,0.0
97,ae052c3f-ea31-4e04-83e8-b3716e9bc2f1,0.0
99,e1540db7-0f6b-4222-a411-0cf6133fd845,0.0
100,6e4e5a12-9422-4096-a495-f31f34a18100,0.0
105,ad055b7b-7041-401e-90e5-3a051e8dee5c,0.0
106,8dbd7490-d109-49e1-b1d4-3e5b7530241c,0.0
107,97026649-fda2-41b1-9b49-9c9894ff4d0b,0.0
108,bb75d98d-159a-4739-9313-57f0b70813dd,0.0
109,c9d78c62-0ac2-4b87-965d-e5cf1081d47f,0.0
112,80eeab39-3322-490a-a7f8-2606f9e1641e,0.0
115,e0a0f400-0505-41c9-8c4f-98d48dce5a7c,0.0
116,faa657f3-9e88-43b1-8707-6b76fecca3b2,0.0
